	ch11.jpg	ch12.jpg	ch13.jpg	ch14.jpg	ch15.jpg	ch21.jpg	ch22.jpg	ch23.jpg	ch24.jpg	ch25.jpg	cc11.jpg	cc12.jpg	cc13.jpg	cc14.jpg	cc21.jpg	cc22.jpg	cc23.jpg	cc24.jpg	pa11.jpg	pa12.jpg	pa13.jpg	pa14.jpg	pa21.jpg	pa22.jpg	pa23.jpg	pa24.jpg
class	-1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	1	1	1	1
GC_R_bin1	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	6.67572e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006
GC_R_bin2	0.000162125	0.000139236	0.000157674	0.000165304	0.000199636	0.00023524	0.000109355	0.000200272	0.000183105	0.000175476	0.000307083	0.000282923	0.000259399	0.000240326	0.000377655	0.000226339	0.000314713	0.000319799	0.000284195	0.000255585	0.000329336	0.000339508	0.000242233	0.000270844	0.000272751	0.00025177
GC_R_bin3	0.00132179	0.00111961	0.0012633	0.00134405	0.00159645	0.00189718	0.000855764	0.00161107	0.00147057	0.00141271	0.00257301	0.00233587	0.00216293	0.00193024	0.00309086	0.00179227	0.00252724	0.00261879	0.00221539	0.00209808	0.00268364	0.0028712	0.0019207	0.00231171	0.00228755	0.00211016
GC_R_bin4	0.00429535	0.00367355	0.00389989	0.00419617	0.00492541	0.00601514	0.00262769	0.00499407	0.00463931	0.00437737	0.00862312	0.00754229	0.00692431	0.00618235	0.0100584	0.00574048	0.0081768	0.00851059	0.00742245	0.00684039	0.00966517	0.0109851	0.00607491	0.00849851	0.00749969	0.00708135
GC_R_bin5	0.00760969	0.00738525	0.00671895	0.00725301	0.0084343	0.0109793	0.00462914	0.00896327	0.00846418	0.00795174	0.0154915	0.013237	0.0122554	0.0109749	0.0188627	0.01054	0.0151609	0.0160141	0.0142756	0.0124938	0.0212377	0.0257568	0.0125058	0.0186253	0.0148786	0.0142765
GC_R_bin6	0.00995509	0.0102911	0.00887108	0.00954882	0.0111192	0.0151291	0.00617345	0.0129509	0.012249	0.0110207	0.0201683	0.0177244	0.0168508	0.0150038	0.0269356	0.0145028	0.0221971	0.0229797	0.0204344	0.0199038	0.0348473	0.0427068	0.019839	0.0315062	0.0235322	0.0216471
GC_R_bin7	0.0119991	0.0128508	0.0110397	0.0116812	0.013682	0.018851	0.00776545	0.0176303	0.0160268	0.0143458	0.0252829	0.0223109	0.0213916	0.0187575	0.0354795	0.0181516	0.0310535	0.0313136	0.0276499	0.0329755	0.050897	0.0619132	0.0279026	0.0459099	0.0340303	0.0320244
GC_R_bin8	0.0144615	0.015316	0.0129941	0.0144812	0.0159683	0.0223999	0.00916608	0.0218595	0.0189635	0.0175044	0.0308609	0.02631	0.0263913	0.0213903	0.0434666	0.0211817	0.0399977	0.0381158	0.0351849	0.0475775	0.0689589	0.0792357	0.0358187	0.064038	0.0436452	0.041633
GC_R_bin9	0.0174351	0.0182104	0.0165577	0.0195503	0.0185935	0.0263424	0.0106843	0.0266139	0.0223637	0.0205835	0.0353565	0.0297705	0.030503	0.0247415	0.0504179	0.0241566	0.0467491	0.0444953	0.0420275	0.0608063	0.0792688	0.0856991	0.0422853	0.0846659	0.0523771	0.0503578
