	ch11.jpg	ch12.jpg	ch13.jpg	ch14.jpg	ch15.jpg	ch41.jpg	ch42.jpg	ch43.jpg	ch44.jpg	ch45.jpg	ch46.jpg	cc11.jpg	cc12.jpg	cc13.jpg	cc14.jpg	cc41.jpg	cc42.jpg	cc43.jpg	cc44.jpg	pa11.jpg	pa12.jpg	pa13.jpg	pa14.jpg	pa41.jpg	pa42.jpg	pa43.jpg	pa44.jpg
class	-1	-1	-1	-1	-1	1	1	1	1	1	1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	1	1	1	1
GC_R_bin1	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	6.67572e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006	3.8147e-006
GC_R_bin2	0.000162125	0.000139236	0.000157674	0.000165304	0.000199636	0.000207901	0.000165939	0.00015831	0.000267665	0.000253677	0.000243505	0.000307083	0.000282923	0.000259399	0.000240326	0.000181834	0.000182152	0.000191371	0.000174205	0.000284195	0.000255585	0.000329336	0.000339508	0.000144005	0.000211716	0.000137329	0.000183105
GC_R_bin3	0.00132179	0.00111961	0.0012633	0.00134405	0.00159645	0.00167179	0.0013485	0.00129128	0.00212606	0.00200589	0.00194804	0.00257301	0.00233587	0.00216293	0.00193024	0.00141589	0.00151348	0.00149536	0.001393	0.00221539	0.00209808	0.00268364	0.0028712	0.0011425	0.00169468	0.0010999	0.00145785
GC_R_bin4	0.00429535	0.00367355	0.00389989	0.00419617	0.00492541	0.00520039	0.00429789	0.00402323	0.00660261	0.00651805	0.0059878	0.00862312	0.00754229	0.00692431	0.00618235	0.00438627	0.00512409	0.00470734	0.00440343	0.00742245	0.00684039	0.00966517	0.0109851	0.00371075	0.00551605	0.00343386	0.00451215
GC_R_bin5	0.00760969	0.00738525	0.00671895	0.00725301	0.0084343	0.00926971	0.00740242	0.00731277	0.0122585	0.0122236	0.0105673	0.0154915	0.013237	0.0122554	0.0109749	0.00791041	0.00994492	0.00872294	0.00795428	0.0142756	0.0124938	0.0212377	0.0257568	0.00730228	0.0103283	0.00616709	0.00826518
GC_R_bin6	0.00995509	0.0102911	0.00887108	0.00954882	0.0111192	0.012804	0.00994873	0.0101757	0.0171515	0.0178102	0.014459	0.0201683	0.0177244	0.0168508	0.0150038	0.0114365	0.0165129	0.0129153	0.0118847	0.0204344	0.0199038	0.0348473	0.0427068	0.01056	0.0153275	0.00902812	0.0120665
GC_R_bin7	0.0119991	0.0128508	0.0110397	0.0116812	0.013682	0.0159712	0.01205	0.0129102	0.022342	0.0236359	0.0186551	0.0252829	0.0223109	0.0213916	0.0187575	0.0154864	0.023241	0.0168807	0.0169169	0.0276499	0.0329755	0.050897	0.0619132	0.0151377	0.0226154	0.012413	0.0164591
GC_R_bin8	0.0144615	0.015316	0.0129941	0.0144812	0.0159683	0.0190058	0.0141735	0.0152785	0.0275065	0.0295328	0.0232461	0.0308609	0.02631	0.0263913	0.0213903	0.0185375	0.0259705	0.0202052	0.0219593	0.0351849	0.0475775	0.0689589	0.0792357	0.0213861	0.0344553	0.0169811	0.0213941
GC_R_bin9	0.0174351	0.0182104	0.0165577	0.0195503	0.0185935	0.0216684	0.0163676	0.0176659	0.0330919	0.0342045	0.0293872	0.0353565	0.0297705	0.030503	0.0247415	0.0217209	0.0284748	0.0231972	0.026446	0.0420275	0.0608063	0.0792688	0.0856991	0.0295277	0.0498543	0.0222333	0.0273336
GC_R_bin10	0.0204805	0.0210505	0.0271606	0.0331554	0.0234801	0.0246353	0.0188211	0.0210361	0.03851	0.0388203	0.0363019	0.0410719	0.0329672	0.0340169	0.0288715	0.0251465	0.0361567	0.02738	0.0333354	0.0483074	0.0638688	0.077659	0.0842857	0.0376987	0.0643911	0.0279611	0.0356166
GC_R_bin11	0.0286643	0.0250816	0.0532881	0.0598774	0.0389767	0.0284452	0.0216039	0.0243314	0.0486234	0.0442766	0.0470104	0.0515909	0.036876	0.0378494	0.0343208	0.0299123	0.0596342	0.0368417	0.0458819	0.0567636	0.0652281	0.0761223	0.0862605	0.0471315	0.07792	0.0354544	0.0453078
GC_R_bin12	0.0590725	0.0318394	0.109089	0.114764	0.0738188	0.0418749	0.0294355	0.0301571	0.07547	0.0540613	0.0859776	0.0707102	0.0446421	0.0450846	0.0450382	0.0456467	0.105993	0.0635376	0.0896784	0.0830832	0.0711644	0.0766811	0.0991224	0.0563002	0.0877705	0.0554377	0.0655632
GC_R_bin13	0.119525	0.0677996	0.214097	0.225393	0.129292	0.102811	0.0818303	0.0475489	0.12137	0.0844154	0.166487	0.104605	0.0673402	0.0619958	0.0753988	0.0941232	0.154085	0.123014	0.182947	0.122861	0.0783698	0.0855598	0.108477	0.073452	0.0984125	0.126616	0.128693
GC_R_bin14	0.193081	0.208642	0.258425	0.26158	0.195519	0.217607	0.220821	0.123014	0.171324	0.158389	0.248942	0.16702	0.145922	0.123913	0.17733	0.189643	0.185652	0.211082	0.238169	0.140085	0.0883872	0.102315	0.107158	0.164454	0.137526	0.276369	0.242269
GC_R_bin15	0.265007	0.284434	0.173381	0.154398	0.200373	0.228323	0.363556	0.267326	0.177421	0.240167	0.206963	0.227689	0.170865	0.212641	0.162114	0.252534	0.168772	0.172189	0.19666	0.179358	0.118121	0.123788	0.103149	0.307981	0.19156	0.267516	0.288054
GC_R_bin16	0.246926	0.292163	0.103053	0.0826079	0.264018	0.2705	0.198174	0.417767	0.245931	0.253682	0.103821	0.198647	0.381869	0.367756	0.377701	0.281915	0.17874	0.277636	0.122193	0.220041	0.331906	0.189984	0.102036	0.224068	0.202414	0.139148	0.102822
