reading data
reading labels
+ weight: 0.25, - weight: 0.75
0.29087 + 0.70913 = 1, predicted label = -1
0.290358 + 0.709642 = 1, predicted label = -1
0.289846 + 0.710154 = 1, predicted label = -1
0.289335 + 0.710665 = 1, predicted label = -1
0.288825 + 0.711175 = 1, predicted label = -1
0.288315 + 0.711685 = 1, predicted label = -1
0.287805 + 0.712195 = 1, predicted label = -1
0.287296 + 0.712704 = 1, predicted label = -1
0.286788 + 0.713212 = 1, predicted label = -1
0.28628 + 0.71372 = 1, predicted label = -1
0.285773 + 0.714227 = 1, predicted label = -1
0.285266 + 0.714734 = 1, predicted label = -1
0.28476 + 0.71524 = 1, predicted label = -1
0.284254 + 0.715746 = 1, predicted label = -1
0.283749 + 0.716251 = 1, predicted label = -1
0.283245 + 0.716755 = 1, predicted label = -1
0.282741 + 0.717259 = 1, predicted label = -1
0.282237 + 0.717763 = 1, predicted label = -1
0.281734 + 0.718266 = 1, predicted label = -1
0.281232 + 0.718768 = 1, predicted label = -1
0.28073 + 0.71927 = 1, predicted label = -1
0.280229 + 0.719771 = 1, predicted label = -1
0.279728 + 0.720272 = 1, predicted label = -1
0.279228 + 0.720772 = 1, predicted label = -1
0.278728 + 0.721272 = 1, predicted label = -1
0.278229 + 0.721771 = 1, predicted label = -1
0.277731 + 0.722269 = 1, predicted label = -1
0.277232 + 0.722768 = 1, predicted label = -1
0.276735 + 0.723265 = 1, predicted label = -1
0.276238 + 0.723762 = 1, predicted label = -1
0.275742 + 0.724258 = 1, predicted label = -1
0.275246 + 0.724754 = 1, predicted label = -1
0.274751 + 0.725249 = 1, predicted label = -1
0.274256 + 0.725744 = 1, predicted label = -1
0.273762 + 0.726238 = 1, predicted label = -1
0.273268 + 0.726732 = 1, predicted label = -1
0.272775 + 0.727225 = 1, predicted label = -1
0.272283 + 0.727717 = 1, predicted label = -1
0.271791 + 0.728209 = 1, predicted label = -1
0.271299 + 0.728701 = 1, predicted label = -1
0.270809 + 0.729191 = 1, predicted label = -1
0.270318 + 0.729682 = 1, predicted label = -1
0.269829 + 0.730171 = 1, predicted label = -1
0.26934 + 0.73066 = 1, predicted label = -1
0.268851 + 0.731149 = 1, predicted label = -1
0.268363 + 0.731637 = 1, predicted label = -1
0.267875 + 0.732125 = 1, predicted label = -1
0.267389 + 0.732611 = 1, predicted label = -1
0.266902 + 0.733098 = 1, predicted label = -1
0.266416 + 0.733584 = 1, predicted label = -1
0.265931 + 0.734069 = 1, predicted label = -1
0.265447 + 0.734553 = 1, predicted label = -1
0.264963 + 0.735037 = 1, predicted label = -1
0.264479 + 0.735521 = 1, predicted label = -1
0.263996 + 0.736004 = 1, predicted label = -1
0.263514 + 0.736486 = 1, predicted label = -1
0.263032 + 0.736968 = 1, predicted label = -1
0.262551 + 0.737449 = 1, predicted label = -1
0.26207 + 0.73793 = 1, predicted label = -1
0.26159 + 0.73841 = 1, predicted label = -1
0.26111 + 0.73889 = 1, predicted label = -1
0.260631 + 0.739369 = 1, predicted label = -1
0.260153 + 0.739847 = 1, predicted label = -1
0.259675 + 0.740325 = 1, predicted label = -1
0.259198 + 0.740802 = 1, predicted label = -1
0.258721 + 0.741279 = 1, predicted label = -1
0.258245 + 0.741755 = 1, predicted label = -1
0.257769 + 0.742231 = 1, predicted label = -1
0.257294 + 0.742706 = 1, predicted label = -1
0.25682 + 0.74318 = 1, predicted label = -1
0.256346 + 0.743654 = 1, predicted label = -1
0.255872 + 0.744128 = 1, predicted label = -1
0.2554 + 0.7446 = 1, predicted label = -1
0.254928 + 0.745072 = 1, predicted label = -1
0.254456 + 0.745544 = 1, predicted label = -1
0.253985 + 0.746015 = 1, predicted label = -1
0.253515 + 0.746485 = 1, predicted label = -1
0.253045 + 0.746955 = 1, predicted label = -1
0.252575 + 0.747425 = 1, predicted label = -1
0.252107 + 0.747893 = 1, predicted label = -1
0.251639 + 0.748361 = 1, predicted label = -1
0.251171 + 0.748829 = 1, predicted label = -1
0.250704 + 0.749296 = 1, predicted label = -1
0.250238 + 0.749762 = 1, predicted label = -1
0.249772 + 0.750228 = 1, predicted label = -1
